1NO0000001	-----사건 번호 45602-----[CRLF]
1NO0001794	저자 : 모이라 브라운 보조 연구원 : [%] [CRLF][CRLF]이 평범한 책은 숙련된 황무지 생존자에게 쓸모가 있는 내용을 담고 있지는 않지만. 초심자를 위한 지침서로서는 괜찮다고 판단된다. [CRLF][CRLF]이 책은 황무지에서 살아남는데 일부 유용한 내용을 담고 있지만, 돌연변이 생물들에 대한 두서없는 글과, 그리고 인류 재건에 관한 터무니 없는 잘못된 정보를 담은 제안들에 의해 내용이 부풀려졌다. [CRLF][CRLF]중요한 초점을 맞춘 부분은 몇몇지역에선 도움이 되지만, 다른 부분은 혼란만 주고있으며, 특히 내용 그 자체가 미심쩍다. [CRLF]
1NO0001799	저자 : 모이라 브라운 보조 연구원 : [%] [CRLF][CRLF]이 평범한 책은 숙련된 황무지 생존자에게 쓸모가 있는 내용을 담고 있진않지만. 초심자를 위한 지침서로서는 괜찮다고 판단된다. [CRLF][CRLF]이 책은 황무지에서 살아남는데 일부 유용한 내용을 담고 있지만, 돌연변이 생물들에 대한 두서없는 글과, 그리고 인류 재건에 관한 터무니 없는 잘못된 정보를 담은 제안들에 의해 내용이 부풀려졌다. [CRLF][CRLF]개인의 힘과 인내력에 초점을 맞춘 덕분에 강인한 생존자들에겐 도움이 될지 몰라도, 그 외의 사람에겐 정말 말도 안되는 내용으로 보일 수 있다. [CRLF]
1NO0001804	저자 : 모이라 브라운 보조 연구원 : [%] [CRLF][CRLF]이 평범한 책은 숙련된 황무지 생존자에게 쓸모가 있는 내용을 담고 있지는 않지만. 초심자를 위한 지침서로서는 괜찮다고 판단된다. [CRLF][CRLF]이 책은 황무지에서 살아남는데 일부 유용한 내용을 담고 있지만, 돌연변이 생물들에 대한 두서없는 글과, 그리고 인류 재건에 관한 터무니 없는 잘못된 정보를 담은 제안들에 의해 내용이 부풀려졌다. [CRLF][CRLF]재치있고 흥미진진하게 쓰여졌지만, 책의 미심쩍은 내용들은 사람들에게 위험하고 잘못된 정보를 줄 수도 있다. [CRLF]
1NO0001809	저자 : 모이라 브라운 보조 연구원 : [%] [CRLF][CRLF]이 평범한 책은 숙련된 황무지 생존자에게 쓸모가 있는 내용을 담고 있진않지만. 초심자를 위한 지침서로서는 괜찮다고 판단된다. [CRLF][CRLF]이 책은 황무지에서 살아남는데 일부 유용한 내용을 담고 있지만, 돌연변이 생물들에 대한 두서없는 글과, 그리고 인류 재건에 관한 터무니 없는 잘못된 정보를 담은 제안들에 의해 내용이 부풀려졌다. [CRLF][CRLF]책의 신랄한 어조는 재미있지만, 그 내용의 질은 저자가 독자를 정말 돕고 싶은건지, 아니면 독자들을 파멸시키고 싶은건지 궁금하게 한다. [CRLF]
1NO0001814	저자 : 모이라 브라운 연구원 : [%] [CRLF][CRLF]이 평범한 책은 숙련된 황무지 생존자에게는 그다지 쓸모가 있는 내용을 담고 있지는 않지만. 초심자를 위한 지침서로서는 괜찮다고 판단된다. [CRLF][CRLF]이 책은 응급처치와 황무지의 거주민들에게 어울리는 것에 대한 몇가지 정보를 담고 있지만, 위험천만한 잘못된 정보들과 실전에 적용 해 본적 없는 인류의 재건에 대한 터무니 없는 잘못된 정보를 담은 제안들 때문에 그 가치가 퇴색 됐다. [CRLF][CRLF]중요한 초점을 맞춘 부분은 몇몇지역에선 도움이 되지만, 다른 부분은 혼란만 주고있으며, 특히 내용의 진위여부 그 자체가 미심쩍다. [CRLF]
1NO0001819	저자 : 모이라 브라운 연구원 : [%] [CRLF][CRLF]이 평범한 책은 숙련된 황무지 생존자에게는 그다지 쓸모가 있는 내용을 담고 있지는 않지만. 초심자를 위한 지침서로서는 괜찮다고 판단된다. [CRLF][CRLF]이 책은 응급처치와 황무지의 거주민들에게 어울리는 것에 대한 몇가지 정보를 담고 있지만, 위험천만한 잘못된 정보들과 실전에 적용 해 본적 없는 인류의 재건에 대한 터무니 없는 잘못된 정보를 담은 제안들 때문에 그 가치가 퇴색 됐다. [CRLF][CRLF]개인의 힘과 인내력에 초점을 맞춘 덕분에 강인한 생존자들에겐 도움이 될지 몰라도, 그 외의 사람에겐 정말 말도 안되는 내용으로 보일수 있다. [CRLF]
1NO0001824	저자 : 모이라 브라운 연구원 : [%] [CRLF][CRLF]이 평범한 책은 숙련된 황무지 생존자에게는 그다지 쓸모가 있는 내용을 담고 있지는 않지만. 초심자를 위한 지침서로서는 괜찮다고 판단된다. [CRLF][CRLF]이 책은 응급처치와 황무지의 거주민들에게 어울리는 것에 대한 몇가지 정보를 담고 있지만, 위험천만한 잘못된 정보들과 실전에 적용 해 본적 없는 인류의 재건에 대한 터무니 없는 잘못된 정보를 담은 제안들 때문에 그 가치가 퇴색 됐다. [CRLF][CRLF]재치있고 흥미진진하게 쓰여졌지만, 책의 미심쩍은 내용들은 사람들에게 위험하고 잘못된 정보를 줄 수도 있다. [CRLF]
1NO0001829	저자 : 모이라 브라운 연구원 : [%] [CRLF][CRLF]이 평범한 책은 숙련된 황무지 생존자에게는 그다지 쓸모가 있는 내용을 담고 있지는 않지만. 초심자를 위한 지침서로서는 괜찮다고 판단된다. [CRLF][CRLF]이 책은 응급처치와 황무지의 거주민들에게 어울리는 것에 대한 몇가지 정보를 담고 있지만, 위험천만한 잘못된 정보들과 실전에 적용 해 본적 없는 인류의 재건에 대한 터무니 없는 잘못된 정보를 담은 제안들 때문에 그 가치가 퇴색 됐다. [CRLF][CRLF]책의 신랄한 어조는 재미있지만, 그 내용의 질은 저자가 독자를 정말 돕고 싶은건지, 아니면 독자들을 파멸시키고 싶은건지 궁금하게 한다. [CRLF]
1NO0001834	저자 : 모이라 브라운 연구원 : [%] [CRLF][CRLF]이 평범한 책은 숙련된 황무지 생존자에게는 그다지 쓸모가 있는 내용을 담고 있지는 않지만. 초심자를 위한 지침서로서는 괜찮다고 판단된다. [CRLF][CRLF]저자의 뚜렷한 정열은 이 책의 독자들에게 어떻게 정착지를 만들고 어떻게 과거의 기술을 사용할지에 대해 새로운 고찰을 하게 만들겠지만, 미래를 내다보는 이러한 생각들은 위험하고 잘못된 생존 정보들과 두서없는 황무지 거주자와의 접촉 방법들 때문에 종종 무색해진다. [CRLF][CRLF]중요한 초점을 맞춘 부분은 몇몇지역에선 도움이 되지만, 다른 부분은 혼란만 주고있으며, 특히 내용 그 자체의 진위여부가 미심쩍다. [CRLF]
1NO0001839	저자 : 모이라 브라운 연구원 : [%] [CRLF][CRLF]이 평범한 책은 숙련된 황무지 생존자에게는 그다지 쓸모가 있는 내용을 담고 있지는 않지만. 초심자를 위한 지침서로서는 괜찮다고 판단된다. [CRLF][CRLF]저자의 뚜렷한 정열은 이 책의 독자들에게 어떻게 정착지를 만들고 어떻게 과거의 기술을 사용할지에 대해 새로운 고찰을 하게 만들겠지만, 미래를 내다보는 이러한 생각들은 위험하고 잘못된 생존 정보들과 두서없는 황무지 거주자와의 접촉 방법들 때문에 종종 무색해진다. [CRLF][CRLF]개인의 힘과 인내력에 초점을 맞춘 덕분에 강인한 생존자들에겐 도움이 될지 몰라도, 그 외의 사람에겐 정말 말도 안되는 내용으로 보일수 있다. [CRLF]
1NO0001844	저자 : 모이라 브라운 연구원 : [%] [CRLF][CRLF]이 평범한 책은 숙련된 황무지 생존자에게는 그다지 쓸모가 있는 내용을 담고 있지는 않지만. 초심자를 위한 지침서로서는 괜찮다고 판단된다. [CRLF][CRLF]저자의 뚜렷한 정열은 이 책의 독자들에게 어떻게 정착지를 만들고 어떻게 과거의 기술을 사용할지에 대해 새로운 고찰을 하게 만들겠지만, 미래를 내다보는 이러한 생각들은 위험하고 잘못된 생존 정보들과 두서없는 황무지 거주자와의 접촉 방법들 때문에 종종 무색해진다. [CRLF][CRLF]재치있고 흥미진진하게 쓰여졌지만, 책의 미심쩍은 내용들은 사람들에게 위험하고 잘못된 정보를 줄 수도 있다. [CRLF]
1NO0001849	저자 : 모이라 브라운 연구원 : [%] [CRLF][CRLF]이 평범한 책은 숙련된 황무지 생존자에게는 그다지 쓸모가 있는 내용을 담고 있지는 않지만. 초심자를 위한 지침서로서는 괜찮다고 판단된다. [CRLF][CRLF]저자의 뚜렷한 정열은 이 책의 독자들에게 어떻게 정착지를 만들고 어떻게 과거의 기술을 사용할지에 대해 새로운 고찰을 하게 만들겠지만, 미래를 내다보는 이러한 생각들은 위험하고 잘못된 생존 정보들과 두서없는 황무지 거주자와의 접촉 방법들 때문에 종종 무색해진다. [CRLF][CRLF]책의 신랄한 어조는 재미있지만, 그 내용의 질은 저자가 독자를 정말 돕고 싶은건지, 아니면 독자들을 파멸시키고 싶은건지 궁금하게 한다. [CRLF]
1NO0001854	저자 : 모이라 브라운 전문 연구원 : [%] [CRLF][CRLF]이 튼실한 책은 황무지의 아웃캐스트들을 위한 풍부한 양의 지식을 담고 있다. [CRLF][CRLF]책에는 황무지에서 살아남는 방법과 이곳에서의 정착민으로 극복할 것들에 관한 훌륭한 조언들이 적혀있다, 단지 "인류 재건"과 같은 높은 이상들에 대한 비현실적인 제안들만이 책을 어지럽히고 있다. [CRLF][CRLF]이러한 약간의 결점에도 불구하고 본문의 환자에 대한 지적이고 완벽한 치료법은 이 책을 매우 우수하게 만들어 주고 있다. [CRLF]
1NO0001859	저자 : 모이라 브라운 전문 연구원 : [%] [CRLF][CRLF]이 튼실한 책은 황무지의 아웃캐스트들을 위한 풍부한 양의 지식을 담고 있다. [CRLF][CRLF]책에는 황무지에서 살아남는 방법과 이곳에서의 정착민으로 극복할 것들에 관한 훌륭한 조언들이 적혀있다, 단지 "인류 재건"과 같은 높은 이상들에 대한 비현실적인 제안들만이 책을 어지럽히고 있다. [CRLF][CRLF]이러한 몇가지 결점에도 불구하고, 책의 개인적 신용 및 결정에 대한 초점은 이 책을 매우 고무적이고 유용하게 만들어 준다. [CRLF]
1NO0001864	저자 : 모이라 브라운 전문 연구원 : [%] [CRLF][CRLF]이 튼실한 책은 황무지의 아웃캐스트들을 위한 풍부한 양의 지식을 담고 있다. [CRLF][CRLF]책에는 황무지에서 살아남는 방법과 이곳에서의 정착민으로 극복할 것들에 관한 훌륭한 조언들이 적혀있다, 단지 "인류 재건"과 같은 높은 이상들에 대한 비현실적인 제안들만이 책을 어지럽히고 있다. [CRLF][CRLF]하지만 이러한 결점들은 누구든지 이해하기 쉬운 생동감있는 정보를 제공하는 책의 직접적이고 매력 있는 내용 전달 앞에 쉽게 눈감아 줄수 있다. [CRLF]
1NO0001869	저자 : 모이라 브라운 전문 연구원 : [%] [CRLF][CRLF]이 튼실한 책은 황무지의 아웃캐스트들을 위한 풍부한 양의 지식을 담고 있다. [CRLF][CRLF]책에는 황무지에서 살아남는 방법과 이곳에서의 정착민으로 극복할 것들에 관한 훌륭한 조언들이 적혀있다, 단지 "인류 재건"과 같은 높은 이상들에 대한 비현실적인 제안들만이 책을 어지럽히고 있다. [CRLF][CRLF]하지만 이러한 결점들은 이 지침서를 읽는 독자를 유쾌하게 만드는 이 책의 활발하고 즐거운 문체 앞에 쉽게 잊혀지게 된다. [CRLF]
1NO0001874	저자 : 모이라 브라운 전문 연구원 : [%] [CRLF][CRLF]이 튼실한 책은 대부분의 황무지의 아웃캐스트들을 위한 풍부한 양의 지식을 담고 있다. [CRLF][CRLF]이 책은 황무지에서의 생존과 사회를 형성하고 재건 하기 위해 다른이들과 협동하는 것에 대한 훌륭한 조언들로 가득하다. 단지 황무지의 생물에 대해 사소한 점에 관한 두서없는 글들로 인해 그 유용함이 약간 절하됐다. [CRLF][CRLF]이러한 약간의 결점에도 불구하고 본문의 환자에 대한 지적이고 완벽한 치료법은 이 책을 매우 우수하게 만들어 주고 있다. [CRLF]
1NO0001879	저자 : 모이라 브라운 전문 연구원 : [%] [CRLF][CRLF]이 튼실한 책은 대부분의 황무지의 아웃캐스트들을 위한 풍부한 양의 지식을 담고 있다. [CRLF][CRLF]이 책은 황무지에서의 생존과 사회를 형성하고 재건 하기 위해 다른이들과 협동하는 것에 대한 훌륭한 조언들로 가득하다. 단지 황무지의 생물에 대해 사소한 점에 관한 두서없는 글들로 인해 그 유용함이 약간 절하됐다. [CRLF][CRLF]이러한 몇가지 결점에도 불구하고, 책의 개인적 신용 및 결정에 대한 초점은 이 책을 매우 고무적이고 유용하게 만들어 준다. [CRLF]
1NO0001884	저자 : 모이라 브라운 전문 연구원 : [%] [CRLF][CRLF]이 튼실한 책은 대부분의 황무지의 아웃캐스트들을 위한 풍부한 양의 지식을 담고 있다. [CRLF][CRLF]이 책은 황무지에서의 생존과 사회를 형성하고 재건 하기 위해 다른이들과 협동하는 것에 대한 훌륭한 조언들로 가득하다. 단지 황무지의 생물에 대해 사소한 점에 관한 두서없는 글들로 인해 그 유용함이 약간 절하됐다. [CRLF][CRLF]하지만 이러한 결점들은 누구든지 이해하기 쉬운 생동감있는 정보를 제공하는 책의 직접적이고 매력 있는 내용 전달 앞에 쉽게 눈감아 줄 수 있다. [CRLF]
1NO0001889	저자 : 모이라 브라운 전문 연구원 : [%] [CRLF][CRLF]이 튼실한 책은 대부분의 황무지의 아웃캐스트들을 위한 풍부한 양의 지식을 담고 있다. [CRLF][CRLF]이 책은 황무지에서의 생존과 사회를 형성하고 재건 하기 위해 다른이들과 협동하는 것에 대한 훌륭한 조언들로 가득하다. 단지 황무지의 생물에 대해 사소한 점에 관한 두서없는 글들로 인해 그 유용함이 약간 절하됐다. [CRLF][CRLF]이러한 결점들은 이 지침서를 읽는 독자를 유쾌하게 만드는 이 책의 활발하고 즐거운 문체 앞에 쉽게 잊혀지게 된다. [CRLF]
1NO0001894	저자 : 모이라 브라운 전문 연구원 : [%] [CRLF][CRLF]이 튼실한 책은 초보자부터 전투로 단련된자들까지 포함한 황무지의 전사들을 위한 풍부한 양의 지식이 담겨있다. [CRLF][CRLF]이 책은 어떻게 황무지에서 번영해 나아갈 수 있는지, 강력한 사회를 구성 하기 위해 어떻게 다른이와 협동하는지에 관한 멋진 정보들로 가득하다. 단지 생존의 기초에 대한 부분은 조금 부족해 책의 질이 약간 떨어졌다. [CRLF][CRLF]이러한 약간의 결점에도 불구하고 본문의 환자에 대한 지적이고 완벽한 치료법은 이 책을 매우 우수하게 만들어 주고 있다. [CRLF]
1NO0001899	저자 : 모이라 브라운 전문 연구원 : [%] [CRLF][CRLF]이 튼실한 책은 초보자부터 전투로 단련된자들까지 포함한 황무지의 전사들을 위한 풍부한 양의 지식이 담겨있다. [CRLF][CRLF]이 책은 어떻게 황무지에서 번영해 나아갈 수 있는지, 강력한 사회를 구성 하기 위해 어떻게 다른이와 협동하는지에 관한 멋진 정보들로 가득하다. 단지 생존의 기초에 대한 부분은 조금 부족해 책의 질이 약간 떨어졌다. [CRLF][CRLF]이러한 몇가지 결점에도 불구하고, 책의 개인적 신용 및 결정에 대한 초점은 이 책을 매우 고무적이고 유용하게 만들어 준다. [CRLF]
1NO0001904	저자 : 모이라 브라운 전문 연구원 : [%] [CRLF][CRLF]이 튼실한 책은 초보자부터 전투로 단련된자들까지 포함한 황무지의 전사들을 위한 풍부한 양의 지식이 담겨있다. [CRLF][CRLF]이 책은 어떻게 황무지에서 번영해 나아갈 수 있는지, 강력한 사회를 구성 하기 위해 어떻게 다른이와 협동하는지에 관한 멋진 정보들로 가득하다. 단지 생존의 기초에 대한 부분은 조금 부족해 책의 질이 약간 떨어졌다. [CRLF][CRLF]하지만 이러한 결점들은 누구든지 이해하기 쉬운 생동감있는 정보를 제공하는 책의 직접적이고 매력 있는 내용 전달 앞에 쉽게 눈감아 줄수 있다. [CRLF]
1NO0001909	저자 : 모이라 브라운 전문 연구원 : [%] [CRLF][CRLF]이 튼실한 책은 초보자부터 전투로 단련된자들까지 포함한 황무지의 전사들을 위한 풍부한 양의 지식이 담겨있다. [CRLF][CRLF]이 책은 어떻게 황무지에서 번영해 나아갈 수 있는지, 강력한 사회를 구성 하기 위해 어떻게 다른이와 협동하는지에 관한 멋진 정보들로 가득하다. 단지 생존의 기초에 대한 부분은 조금 부족해 책의 질이 약간 떨어졌다. [CRLF][CRLF]이러한 결점들은 이 지침서를 읽는 독자를 유쾌하게 만드는 이 책의 활발하고 즐거운 문체 앞에 쉽게 잊혀지게 된다. [CRLF]
1NO0001914	주 저자 겸 생존 전문가 : [%]
1NO0001919	주 저자 겸 생존 전문가 : [%]
1NO0001924	주 저자 겸 생존 전문가 : [%]
1NO0001929	주 저자 겸 생존 전문가 : [%]
1NO0001934	볼트-텍 비밀 입구 개방[CRLF]
1NO0001935	볼트 번호...
1NO0001936	76
1NO0001937	건설 시작 일자...
1NO0001938	 2065년 2월
1NO0001939	건설 완료 일자... 
1NO0001940	 2069년 10월
1NO0001941	총 거주자 수...
1NO0001942	500
1NO0001943	총 지속 기간...
1NO0001944	 240 달
1NO0001945	컴퓨터 제어 시스템... 
1NO0001946	 Brain Power 4 
1NO0001947	주요 동력 공급원... 
1NO0001948	 생활용 지열 발전기
1NO0001949	보조 동력 공급원...
1NO0001950	 범용 자동 핵 발전기 
1NO0001951	비표준 장비...
1NO0001954	92
1NO0001956	 2062년 5월
1NO0001958	 2068년 5월
1NO0001960	245
1NO0001962	 100년
1NO0001964	 브레인 파워 7
1NO0001970	 음향 장비 - #328746-2A 항목에 구분되어 있음.
1NO0001971	 악기 - #9267563-4C 항목에 구분되어 있음.
1NO0001972	 녹음 장비 - memo #5619-7J 항목에 구분되어 있음.[CRLF]
1NO0001974	106
1NO0001976	 2064년 3월
1NO0001978	 2069년 12월
1NO0001980	 실험체 95개
1NO0001981	 연구자 12명
1NO0001983	 147개월
1NO0001985	 생각하는 기계 2800x
1NO0001987	 록-솔리드 지열 발전기
1NO0001991	108
1NO0001993	 2061년 5월
1NO0001995	 2069년 12월 (파업으로 인한 연장)
1NO0001997	475
1NO0001999	 38년
1NO0002004	 (참고사항 : 주요 동력 공급원은 240개월 이후에 고장나도록 설계됨)
1NO0002006	 스팀-휘슬 소형 지열 발전기[CRLF]
1NO0002007	 오버시어로부터의 참고사항 : 우리는 스팀-휘슬 발전기가 볼트에 부분적으로만
1NO0002008	 동력을 공급한다는 것을 알아냈습니다. 
1NO0002009	 이제 이 문제에 관해선 더 이상 아무 말도 하지 마십시오. [CRLF]
1NO0002011	 방어용 무기 : 세 종류의 표준 지급품
1NO0002012	 (참고사항 : 보통의 오락물과 같이 보관하지 마시오)[CRLF]
1NO0002014	112
1NO0002016	 2068년 11월
1NO0002018	 2074년 6월
1NO0002020	85
1NO0002022	 무기한
1NO0002024	 생각하는 기계 3600r
1NO0002026	 스트롱-파워 지열 발전기
1NO0002028	 특 스트롱-파워 지열 발전기
1NO0002030	 147c 로봇 12대, 가사 로봇 변형 모델
1NO0002031	 표준 산란장치(?) 85개
1NO0002032	 액체 영양분 목록은 #943-B2에 자세히 나와있음[CRLF]
1NO0002033	볼트106 요원임무
1NO0002034	*************************[CRLF]
1NO0002035	오버시어...
1NO0002036	 알버트 레리스 박사[CRLF]
1NO0002037	추가 인원...[CRLF]
1NO0002038	기록 보관인의 기록:[CRLF]
1NO0002039	이 정보는 심리학 연구부서의 알버트 레리스 박사와 볼트 106 오버시어의 요구에 맞춰 편집되었다. 볼트106의 목적과 연구 방법 내에서의 모든 연구는 그의 연구소를 통해 지휘될 예정이다.[CRLF]
1NO0002040	볼트108 요원임무
1NO0002043	 브로디 존[CRLF]
1NO0002044	참모장... 
1NO0002045	 재커리 K.제임슨[CRLF]
1NO0002046	보안부장...
1NO0002047	 제렉 매딕스[CRLF]
1NO0002048	노동 의욕 증진 담당관... 
1NO0002049	 네이든 아우라겐[CRLF]
1NO0002050	연구 기록: 모든 중요한 위치는 의도적으로 빈 채로 두었고, 감독은 볼트 108의 정서에 따라 할당 할 것이다. 사전 의료 검사에 따르면, 존은 40개월 이내에 연구를 끝내야만 하는 이례적이고 치명적인 암의 유전 증세를 가지고 있다. 이 두 사건은 이 계획을 예상한 대로 지속시키기 위한 적절한 촉매제가 되도록 결합 하여야 한다.[CRLF]
1NO0002051	볼트112 요원 임무
1NO0002054	 스테니슬로 브라운 박사.[CRLF]
1NO0002056	연구원의 노트:[CRLF]
1NO0002057	볼트112 안의 자연 계획과 고도의 자동화 시스템이 그것을 제어 할 수 있게 설계 되었기 때문에, 볼트는 한명의 관리자만을 요구한다.[CRLF]
1NO0002058	볼트76 목적 개요
1NO0002060	볼트76은 우리가 가지고 있는 17개 통제 볼트 중 하나 입니다. 이 볼트는 볼트-텍에 의해 작성된 기획서에 의해 구상된 계획과 거주민들의 기대에 따라 정확하게 작동할 것 입니다. 이 볼트는 20년 후에 자동적으로 열리게 될 것이고, 다른 실험들과 비교 연구 하기 위해, 거주자들은 열린 세계로 밀려날 것입니다.[CRLF]
1NO0002061	****오류****[CRLF]
1NO0002062	파일 손상 발견
1NO0002063	가동 프로그램을 재 설치해 주십시오.[CRLF]
1NO0002069	볼트 101의 목적 개요
1NO0002071	*억눌린 환경의 영향은 몇 세대에 걸쳐 영향을 끼친다는 것을 관찰 한다.
1NO0002072	*작은 집단의 영향은 개개인에게 유전학적으로 몇 세대에 걸쳐 영향을 끼친다는 것을 관찰한다.[CRLF]
1NO0002115	다음 의회에 다뤄질 의제[CRLF]
1NO0002116	비행 갑판위의 난간
1NO0002117	세금. 출입세? 수도세?
1NO0002118	무기 분배 프로그램.[CRLF]
1NO0002119	다음주까지 필요한 것.[CRLF]
1NO0002120	과일 13개, 썩었는지 확인 할 것
1NO0002121	이구아나 꼬지 9개
1NO0002122	맥주 5병[CRLF]
1NO0002123	방 1: 짐머와 일행
1NO0002124	방 2: 시스터
1NO0002125	방 3: 비었음[CRLF]
1NO0002126	나는 알파와 오메가요, 시작과 끝이라. 내가 생명수 샘물을 목마른 자에게 값없이 주리니 이기는 자는 이것들을 상속으로 받으리라.[CRLF]
1NO0002127	회색벽, 단단한 강철.
1NO0002128	질식! 비난!
1NO0002129	어두 컴컴한 지하에 무언갈 찾아 헤매는 손들.
1NO0002130	엄마? 아빠? 나는 죽은건가요?
1NO0002131	아니야! 아니야! 정화된 빛으로 다시 태어난거야![CRLF]
1NO0002132	광명으로 가득 찬 모습이 보여.
1NO0002133	신이 나에게? 신께 모든 영광을!
1NO0002134	우리의 생명을, 우리의 영원을 지켜보소서.
1NO0002135	고난의 혹독함. 사랑의 가혹함.
1NO0002136	나의 구주께 복종을![CRLF]
1NO0002137	유충에서 번데기로, 번데기에서 일벌로.
1NO0002138	윙, 윙! 강철 벌집에 한 마리.
1NO0002139	101마리 안에 10마리의 의미 있는 탄생.
1NO0002140	어둠의 기운이 몸 속 깊이 영혼에까지 스미어 온다.
1NO0002141	그리고, 영원한 잠, 뜨겁게 달궈지는 달콤한 잠.[CRLF]
1NO0002142	볼트-텍 기밀 자료에 대한 계속된 해킹 시도로 인하여, 이하의 보안 사항들이 추가되었습니다:[CRLF]
1NO0002143	1. VTMB01 중앙컴퓨터의 작동중지는 이제 세곳 모두에서의 시스템 운영 단말기 인증을 필요로 합니다.[CRLF]
1NO0002144	2. 외부 단말기로부터 모든 사소한 부분까지의 접근 요소를 제거 했으며 메인프레임실의 접근에는 역시 세곳 모두의 시스템 운영 단말기 인증을 필요로 합니다.[CRLF]
1NO0002145	3. 모든 기계화 장비들은 이제 VTMB91 중앙컴퓨터의 보안 시스템에 의해 통제됩니다. 공인된 기술관계자 외에는 이들 장비들을 제어하지 말아주십시오.[CRLF]
1NO0002146	매점 자동 판매기를 누군가 또 고장 내 놓았습니다. 이것은 직원 안내서 VT00987/A의 17장에 위배 되는 행동으로써, 만일 기계가 제대로 작동되지 않더라도 차거나 흔들거나 주먹이나 소화기로 치거나 쓰레기로 동전투입구를 채워 넣지 마십시오.[CRLF]
1NO0002147	직원 안내서 VT00733/D의 18장에 기록된 직원들의 자유 휴식 정책에 대한 남용으로 인해 최근 오버시어에게 경고를 받게 되었습니다. 이로 인해 인사부와 관리부는 여가시간의 합리적인 축소에 합의 했습니다. 오늘부터 샤워시간이 2분 37초에서 2분 25초로 줄어듭니다.[CRLF]
1NO0002148	지금까지 볼트 112가 볼트 테크놀로지의 정신에 입각해 효율적으로 돌아가고 있음을 알리는 속보였습니다. 힘냅시다, 주민 여러분![CRLF]
1NO0002149	메인프레임 진입로 암호는 "난볼트를사랑해"[CRLF]
1NO0002150	87, 92, 101, 106, 108번 볼트의 위치와 비밀번호를 다운로드 받았습니다.[CRLF]
1NO0002151	이번달 레오의 계산이 또 다시 모자란다. 이번에는 124캡이다. 그를 계속해서 주시해야겠다. 그가 덜렁이가 아니라면 도둑일 것이다.[CRLF]
1NO0002152	이번달 레오의 계산이 또 다시 모자란다. 이번에는 124캡이다. 그를 계속해서 주시해야겠다. 그가 덜렁이가 아니라면 도둑일 것이다. 그리고 지금 잔고가 다시 모자라게 되었지만, 레오는 일을 제대로 처리 하려면 단말기 내용까지 바꿔야 한다는 것은 몰랐나 보다. 그렇지 않은가?[CRLF]
1NO0002153	그 낯선 사람이 레오가 자신의 문제를 해결 할 수 있도록 도와준 다음부터 레오의 계산은 깔끔 해 졌다. 이제껏 레오가 그의 나쁜 버릇을 나에게 숨겨 오다니 믿을 수 없다. 지난 몇년간 우리 사이가 점점 멀어지고 있었다. 이 관계를 회복 시키기 위해서는 내 노력이 필요 하겠지.[CRLF]
1NO0002154	사람들은 내게 종종 순수하게 물어 온다, "증거자님, 증거자님은 왜 원자폭탄을 숭배하시는겁니까?" 호기심 많은 아이들처럼, 그들은 내게 우리 신념의 가장 명백하고 논란이 되는 측면에 대한 질문을 들고 온다. 우리들 중 순진한 사람들은 위대한 계시 전에 내 설교를 듣고, 호수에서 우리가 세례 받는 것을 보며, 우리가 동반 자살이라도 시도 하는 듯이 바라 보며 위험 하지는 않은지 궁금해 한다. 나의 선한 원자의 아이들아, 너희는 그들의 분노가 담긴 호기심에 대답하고 싶을 수도 있겠지만, 절대로 그렇게 해서는 안 된다.[CRLF]
1NO0002155	원자 교리의 핵심은 우리들에게 평화를 가르친다. 우리는 진실을 알고 싶어 하는 자들을 깨닫게 해 주어야 하고, 그들의 무지를 경감시키기 위해 일해야 한다. 우리는 그들에게 과거와 분리되는 영광을 받아들이고 다가올 분리의 영광을 추구하는 것을 가르쳐야 한다.[CRLF]
1NO0002156	나의 아이들아, 그들에게 가르쳐라. 분리의 날에 그들의 썩은 육체가 얼마나 수 많은 생명을 낳는지 가르쳐라. 그들에게 이렇게 가르쳐라. 축복, 영광, 그리고 우리의 축복 받은 일 가운데서 찾을 수 있는 우리의 영적 교감과 충만의 평화를.[CRLF]
1NO0002157	나의 아이들아, 그들에게 가르쳐라. 그들에게 가르침 안에서 너희의 있을 곳을 찾으라고 가르쳐라. 이것은 우리를 향한 원자 교리의 핵심이다. 널리 전하라. 널리 원대히 하라. 널리 충만케 하라.[CRLF]
1NO0002158	나의 소중한 아이들아, 평화 속으로 들어가라. 원자의 빛 안으로 들어가라.[CRLF]
1NO0002159	예배 의식의 맹세:[CRLF]
1NO0002160	원자란 무엇일까요?[CRLF]
1NO0002161	원자는 빛이요 권능입니다.[CRLF]
1NO0002162	원자는 변화입니다.[CRLF]
1NO0002163	원자는 혼란에 질서를 가져오는 정화입니다.[CRLF]
1NO0002164	원자는 순수함 입니다.[CRLF]
1NO0002165	원자는 평화 입니다.[CRLF]
1NO0002166	원자는 희망 입니다.[CRLF]
1NO0002167	나는 종종 내 자신에게 지금이 적절한 재분리의 때인지 묻는다. 이곳, 원자의 축복 받은 마을에서, 우리는 정말 그의 강림을 맞을 준비가 되어 있는가? 나는 원자의 아이들에게 그의 광대한 제단의 갈라진 틈이 열리고 그의 영광이 우리에게 나타나는 그 순간을 맞이할 준비를 시켰는가? 나는 단지 인간이다. 하지만 이 아이들에게 영광을 가져야 줘야하는 나는 진실로 누구인가? 분리를 일으키려고 애쓰는 나는 진실로 누구인가?[CRLF]
