MOD0000001	천만에.
F3NGA01671	스페이스
F3NGA01672	[힘] [%] 
F3NGA01673	[인지력] [%] 
F3NGA01674	[지구력] [%] 
F3NGA01675	[매력] [%] 
F3NGA01676	[지능] [%] 
F3NGA01677	[민첩성] [%] 
F3NGA01678	[행운] [%] 
F3NGA01679	[흥정] [%] 
F3NGA01680	[에너지 무기] [%] 
F3NGA01681	[폭발물] [%] 
F3NGA01682	[총기] [%] 
F3NGA01683	[자물쇠 따기] [%] 
F3NGA01684	[의학] [%] 
F3NGA01685	[근접 무기] [%] 
F3NGA01686	[수리] [%] 
F3NGA01687	[과학] [%] 
F3NGA01688	[은신] [%] 
F3NGA01689	[화술] [%] 
F3NGA01690	[생존] [%] 
F3NGA01691	[격투] [%] 
F3NGA01692	[힘] 
F3NGA01693	[인지력] 
F3NGA01694	[지구력] 
F3NGA01695	[매력] 
F3NGA01696	[지능] 
F3NGA01697	[민첩성] 
F3NGA01698	[행운] 
F3NGA01699	[흥정] 
F3NGA01700	[에너지 무기] 
F3NGA01701	[폭발물] 
F3NGA01702	[총기] 
F3NGA01703	[자물쇠 따기] 
F3NGA01704	[의학] 
F3NGA01705	[근접 무기] 
F3NGA01706	[수리] 
F3NGA01707	[과학] 
F3NGA01708	[은신] 
F3NGA01709	[화술] 
F3NGA01710	[생존] 
F3NGA01711	[격투] 
F3NGA01712	무게  [%]
F3NGA01713	피해 x[%]
F3NGA01714	은신 +[%], 스텔스 필드 +[%]
F3NGA01715	몸의 부상을 치료하는 방법은 침대에서의 수면, 의사의 치료, 스팀팩 등 3가지입니다. 하드코어 모드에서는 의료 가방과 의사만이 치료할 수 있습니다.[CRLF][CRLF]스팀팩은 전신에 투여하여 상처를 치료합니다(부상도 조금씩 회복합니다), 또는 몸에 직접 사용해 부상을 치료할 수 있습니다.[CRLF][CRLF]스팀팩을 직접 사용하여 부상을 고치려면 핍-보이 상태 화면에서 치료할 부위를 클릭해주세요.
F3NGA01716	[%] 남음
F3NGA01717	다운로드 컨텐츠
F3NGA01718	제작진
F3NPA00002	얼마나 대기하겠습니까?
F3NPA00003	얼마나 주무시겠습니까?
F3NPA00004	0 시간
F3NPA00005	1 시간
F3NPA00006	[%] 시간
F3NPA00007	월요일, [%], [%]
F3NPA00008	화요일, [%], [%]
F3NPA00009	수요일, [%], [%]
F3NPA00010	목요일, [%], [%]
F3NPA00011	금요일, [%], [%]
F3NPA00012	토요일, [%], [%]
F3NPA00013	일요일, [%], [%]
F3NPA00014	버전 정보: [%]
F3NPA00015	플레이 시간: [%]
F3NPA00016	레벨 [%]: [%]
F3NPA00017	한국어
F3NPA00022	문 - [%]
F3NPA00023	철 문 - [%]
F3NPA00024	게이트 문 - [%]
F3NPA00025	볼트 문 - [%]
F3NPA00026	판잣집 문 - [%]
F3NPA00027	감옥 문 - [%]
F3NPA00028	설비 문 - [%]
F3NPA00029	차고 문 - [%]
F3NPA00030	유리 문 - [%]
F3NPA00031	저장고 문 - [%]
F3NPA00032	경비 문 - [%]
F3NPA00033	자동문 - [%]
F3NPA00034	지하실 문 - [%]
F3NPA00035	정비 문 - [%]
F3NPA00036	엘리베이터 문 - [%]
F3NPA00037	숨겨진 문 - [%]
F3NPA00038	자동문 - [%]
F3NPA00039	게이트 - [%]
F3NPA00040	체인 게이트 - [%]
F3NPA00041	금속 게이트 - [%]
F3NPA00042	목재 게이트 - [%]
F3NPA00043	설비 게이트 - [%]
F3NPA00044	맨홀 - [%]
F3NPA00045	하수구 쇠살대 - [%]
F3NPA00046	해치 - [%]
F3NPA00047	저장고 해치 - [%]
F3NPA00048	사다리 - [%]
F3NPA00049	하수구 입구 - [%]
F3NPA00050	배수구 - [%]
F3NPA00051	고속 엘리베이터 - [%]
F3NPA00052	온실 문 - [%]
F3NPA00053	개미 굴 - [%]
F3NPA00054	엘리베이터 - [%]
F3NPA00055	창살 - [%]
F3NPA00090	스텔스 필드[CRLF]은신 증가
F3NPA00093	사지 불구 무시
F3NPA00127	+10 DT, +25 방사능 저항
F3NPA00128	밀봉됨
F3NPA00129	신선함
F3NPA00130	요리됨
F3NPA00131	요리 안됨
F3NPA00132	날것
F3NPA00133	오래됨
F3NPA00134	상함
F3NPA00135	변질됨
F3NPA00136	썩음
F3NPA00149	[%][CRLF](중립적)
F3NPA00150	[%][CRLF](인정받음)
F3NPA00151	[%][CRLF](환영함)
F3NPA00152	[%][CRLF](우상화됨)
F3NPA00153	[%][CRLF](소외당함)
F3NPA00154	[%][CRLF](엇갈림)
F3NPA00155	[%][CRLF](미소짓는 말썽꾼)
F3NPA00156	[%][CRLF](착한 악당)
F3NPA00157	[%][CRLF](싫어함)
F3NPA00158	[%][CRLF](조롱받는 양아치)
F3NPA00159	[%][CRLF](예측 불가)
F3NPA00160	[%][CRLF](어둠의 영웅)
F3NPA00161	[%][CRLF](비난당함)
F3NPA00162	[%][CRLF](자비로운 폭력배)
F3NPA00163	[%][CRLF](부드러운 악마)
F3NPA00164	[%][CRLF](야생아)
F3NPA00179	수리 기술   [%]
F3NPA00180	캡   [%]
F3NPA00182	[%][%] 정확함.
F3NPA00183	강제로 따기 [[%]]
F3NPA00184	[[%] - [%]]
F3NPA00185	[열쇠가 필요함]
F3NPA00186	척추 자극![CRLF][%]\1[CRLF][CRLF]X-8 척추-자극-반-증감제의 주파수를 복구!
F3NPA00187	모든 종교적인 무기에도 똑같은 말을 할 수 있지 *[CRLF][%]\15[CRLF][CRLF]마리아, 게헤나, 성스러운 파편 수류탄 등으로 야생 구울들을 죽이기.
F3NPA00189	수도 황무지
F3NPA00190	모두 수리
F3NPA00191	[%]에 독을 바르겠습니까?
F3NPA00194	HP [%]/[%][CRLF]스팀팩 [%]
F3NPA00197	탑스에서 번 칩: [%]
F3NPA00198	울트라-럭스에서 번 칩: [%]
F3NPA00199	빅키 & 밴스에서 번 칩: [%]
F3NPA00200	아토믹 랭글러에서 번 칩: [%]
F3NPA00201	고모라에서 번 칩: [%]
F3NPA00202	시에라 마드레에서 번 칩: [%]
F3NPA00203	캐러밴 덱을 무작위로 섞기
F3NPA00204	베팅: [%][CRLF]지불: [%]:[%]
F3NPA00205	베팅:[CRLF]지불:
F3NPA00206	0: 베팅,[%][CRLF]지불: [%]:[%]
F3NPA00207	00: 베팅,[%][CRLF]지불: [%]:[%]
F3NPA00208	0,00: 베팅,[%][CRLF]지불: [%]:[%]
F3NPA00209	[%] 칩을 얻었습니다
F3NPA00210	운이 좋습니다. [%] 칩을 얻었습니다
F3NPA00211	[%] 칩을 잃었습니다
F3NPA00220	[일반 UI 및 MTUI - 사지 회복]
F3NPA00222	[Darnified UI - 사지 회복]
F3NPA00223	몸의 부상을 치료하는 방법은 침대에서의 수면, 의사의 치료, 스팀팩 등 3가지입니다. 하드코어 모드에서는 의료 가방과 의사만이 치료할 수 있습니다.[CRLF][CRLF]스팀팩은 전신에 투여하여 상처를 치료합니다(부상도 조금씩 회복합니다), 또는 몸에 직접 사용해 부상을 치료할 수 있습니다.[CRLF][CRLF]스팀팩을 직접 사용하여 부상을 고치려면 핍-보이 상태 화면에서 치료할 부위를 클릭해주세요.
F3NPA00244	[%]\25[CRLF][CRLF]더 많은 약품 사용.
F3NPA00246	[%]\50[CRLF][CRLF]적대적 로봇 파괴.
F3NPA00248	[%]\20[CRLF][CRLF]무기를 개조하여 적용.
F3NPA00250	[%]\25[CRLF][CRLF]지뢰 해체.
F3NPA00252	[%]\25[CRLF][CRLF]적을 소매치기로 넣은 폭발물로 폭사시킴.
F3NPA00262	[%]\10[CRLF][CRLF]야오과이 10마리 죽이기.
F3NPA00273	2개의 재주를 선택하세요 (또는 안하기)
F3NPA00274	필요:[CRLF]랭크: [%][CRLF][CRLF]
F3NPA00275	필요: [%][CRLF]랭크: [%][CRLF][CRLF]
F3NPA00276	필요: [%]--[CRLF]랭크: [%][CRLF][CRLF]
F3NPA00277	필요: [%] < [%][CRLF]랭크: [%][CRLF][CRLF]
F3NPA00278	필요: 레벨 [%], 식인종[CRLF]랭크: [%][CRLF][CRLF]
F3NPA00281	필요: 레벨 [%], [%] [%], [%] [%], [%] [%] 또는 [%] [%][CRLF]랭크: [%][CRLF][CRLF]
F3NPA00282	필요: 레벨 [%], [%] [%], [%] [%] 또는 [%] [%][CRLF]랭크: [%][CRLF][CRLF]
F3NPA00283	필요: 레벨 [%], [%] [%] 또는 [%] [%][CRLF]랭크: [%][CRLF][CRLF]
F3NPA00286	필요: 레벨 [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%][CRLF]랭크: [%][CRLF][CRLF]
F3NPA00287	필요: 레벨 [%], [%] [%], [%] [%], [%] [%], [%] [%][CRLF]랭크: [%][CRLF][CRLF]
F3NPA00288	필요: 레벨 [%], [%] [%], [%] [%], [%] [%][CRLF]랭크: [%][CRLF][CRLF]
F3NPA00289	필요: 레벨 [%], [%] [%], [%] [%][CRLF]랭크: [%][CRLF][CRLF]
F3NPA00290	필요: 레벨 [%], [%] [%][CRLF]랭크: [%][CRLF][CRLF]
F3NPA00291	필요: 레벨 [%][CRLF]랭크: [%][CRLF][CRLF]
F3NPA00305	추가됨
F3NPA00306	제거됨
F3NPA00307	개의 재주 남음
F3NPA00308	은(는) 도망칩니다.
F3NPA00309	신호를 잡았습니다.
F3NPA00310	이(가) 장착해제 되었습니다.
F3NPA00311	이상의 수리 기술이 필요합니다.
F3NPA00312	는 진정되어서 반응하지 않습니다.
F3NPA00313	은(는) 인벤토리가 꽉 찼습니다.
F3NPA00314	은(는) 이미 당신을 눈치챘습니다.
F3NPA00315	효과가 감소하는 중입니다.
F3NPA00316	에게 악명을 얻었습니다!
F3NPA00317	의 명성이 줄어들었습니다.
F3NPA00318	개의 재주 남음
F3NPA00319	은(는) 의식이 없습니다.
F3NPA00320	신호가 사라졌습니다.
F3NPA00321	효과가 사라졌습니다.
F3NPA00322	번의 시도가 남음:
F3NPA00323	이(가) 장착되었습니다.
F3NPA00324	은(는) 피해를 입었습니다
F3NPA00325	의 명성을 얻었습니다!
F3NPA00337	흥정이 [%]만큼 증가했습니다
F3NPA00338	중화기가 [%]만큼 증가했습니다
F3NPA00339	에너지 무기가 [%]만큼 증가했습니다
F3NPA00340	폭발물이 [%]만큼 증가했습니다
F3NPA00341	자물쇠 따기가 [%]만큼 증가했습니다
F3NPA00342	의학이 [%]만큼 증가했습니다
F3NPA00343	근접 무기가 [%]만큼 증가했습니다
F3NPA00344	수리가 [%]만큼 증가했습니다
F3NPA00345	과학이 [%]만큼 증가했습니다
F3NPA00346	소화기가 [%]만큼 증가했습니다
F3NPA00347	은신이 [%]만큼 증가했습니다
F3NPA00348	화술이 [%]만큼 증가했습니다
F3NPA00349	총기가 [%]만큼 증가했습니다
F3NPA00350	생존이 [%]만큼 증가했습니다
F3NPA00351	격투가 [%]만큼 증가했습니다
F3NPA00352	장소를 발견했습니다
F3NPA00353	스크린샷: [%] 파일이 생성됨.
F3NPA00395	닥터 프레스턴의 열쇠로 열었습니다.
F3NPA00396	연구 시설, 금고 열쇠로 열었습니다.
F3NPA00397	블랙웰 대령의 열쇠로 열었습니다.
F3NPA00398	인디펜던스 요새의 보관소 열쇠로 열었습니다.
F3NPA00399	닥터 프레스턴의 방 열쇠로 열었습니다.
F3NPA00411	백년초
F3NPA00412	할라피뇨
F3NPA00413	강낭콩
F3NPA00414	버팔로 조롱박
F3NPA00415	흰독말풀 뿌리
F3NPA00420	(복구된 데이터 기록 종료)
F3NPA00421	[%] 시온에서 탈출했다.
F3NPA00422	[%] 시온에 도착했다.
F3NPA00423	격발장치가 제거되었습니다.
F3NPA00424	사자의 패
F3NPA00425	[%] 유령 수확자 10명 살해.
F3NPA00426	[%] 유령 추적자 10명 살해.
F3NPA00427	[%] 유령 사냥꾼 10명 살해.
F3NPA00428	기계의 종말 [%]
F3NPA00429	켜짐
F3NPA00430	고모라에서 번 칩: [%]
F3NPA00431	([%]) 의료 가방
F3NPA00432	([%]) 스팀팩
F3NPA00433	([%]) 라드어웨이
F3NPA00434	([%]) 라드-X
F3AC000001	Aggr.
F3AC000002	Conf.
F3AC000003	에너지
F3AC000004	Respons.
F3AC000005	Mood
F3AC000006	힘
F3AC000007	인지
F3AC000008	지구
F3AC000009	매력
F3AC000010	지능
F3AC000011	민첩
F3AC000012	행운
F3AC000013	AP
F3AC000014	소지량
F3AC000015	치명타기회
F3AC000017	HP
F3AC000018	피해
F3AC000019	방어도
F3AC000020	독저항
F3AC000021	방사능저항
F3AC000024	XP
F3AC000030	오른발
F3AC000031	머리
F3AC000034	에너지 무기
F3AC000035	폭발물
F3AC000037	의학
F3AC000038	근접 무기
F3AC000041	소형 화기
F3AC000045	무게
F3AC000047	투명
F3AC000049	투시
F3AC000050	감지 거리
F3AC000051	화염저항
F3AC000052	수중호흡
F3AC000055	피해
F3AC000056	Assis.
F3AC000057	에너지저항
F3AC000058	부정적 효과 무시
F3AM000001	에너지 셀
F3AM000002	에너지 셀 (최적)
F3AM000003	에너지 셀 (저출력)
F3AM000004	에너지 셀 (과출력)
F3AM000005	에너지 셀 (최대출력)
F3AM000006	마이크로퓨전 셀
F3AM000007	마이크로퓨전 셀 (최적)
F3AM000008	마이크로퓨전 셀 (저출력)
F3AM000009	마이크로퓨전 셀 (과출력)
F3AM000010	마이크로퓨전 셀 (최대출력)
F3AM000011	일렉트론 챠지 팩
F3AM000012	일렉트론 챠지 팩 (최적)
F3AM000013	일렉트론 챠지 팩 (저출력)
F3AM000014	일렉트론 챠지 팩 (과출력)
F3AM000015	일렉트론 챠지 팩 (최대출력)
F3AM000016	화염방사기 연료
F3AM000017	화염방사기 연료 (최적)
F3AM000018	화염방사기 연료 (수제)
F3AM000019	에일리언 파워 모듈
F3AM000020	미사일 고속탄
F3AM000021	필름
F3AM000022	곡사포 포탄
F3AM000023	아르키메데스 II 차지
F3AM000024	산탄총 탄
F3AM000025	소닉 에너지
F3AM000026	308 탄
F3AM000027	5.56mm 탄
F3AM000028	최면총 파워 셀
F3AM000029	개못
F3AM000030	44 매그넘 탄
F3AM000031	32 탄
F3AM000032	10mm 탄
F3AM000033	10mm 할로우포인트
F3AM000034	12.7mm 할로우포인트
F3AM000035	12 게이지 탄
F3AM000036	12 게이지 코인샷
F3AM000037	12 게이지 매그넘
F3AM000038	20 게이지 탄
F3AM000039	20 게이지 매그넘
F3AM000040	20 게이지 슬러그
F3AM000041	223 탄
F3AM000042	22LR 할로우포인트
F3AM000043	22LR 플링킹
F3AM000044	25mm 유탄
F3AM000045	25mm 고폭 유탄
F3AM000046	308 철갑탄
F3AM000047	308 할로우포인트
F3AM000048	357 매그넘
F3AM000049	357M 할로우포인트
F3AM000050	357M JFP
F3AM000051	38 특수탄
F3AM000052	40mm 소이탄
F3AM000053	44 매그넘
F3AM000054	44M 할로우포인트
F3AM000055	44M SWC
F3AM000056	44 특수탄
F3AM000057	45-70G
F3AM000058	45-70G 할로우포인트
F3AM000059	45-70G SWC
F3AM000060	50MG 철갑탄
F3AM000061	50MG 매치탄
F3AM000062	5.56mm 철갑탄
F3AM000063	5.56mm 할로우포인트
F3AM000064	5.56mm 보급형
F3AM000065	5mm 철갑탄
F3AM000066	5mm 할로우포인트
F3AM000067	5mm 보급형
F3AM000068	9mm 할로우포인트
F3AM000069	빈백
F3AM000070	코인
F3AM000071	슬럭
F3AM000072	특수
F3AM000073	소이
F3AM000074	보급
F3AM000075	수제
F3AM000076	고속
F3AM000077	최적
F3AM000078	저출
F3NBO00004	몸통
F3NBO00008	오른쪽 트랙
F3NBO00009	왼쪽 트랙
F3NBO00010	오른발
F3NBO00011	왼발
F3NBO00012	오른쪽 집게발
F3NBO00013	왼쪽 집게발
F3NBO00014	침
F3NBO00015	몸통
F3NBO00016	브랜치
F3NBO00017	더듬이
F3NBO00018	엔클레이브 마인드 콘트롤
F3NBO00019	오른쪽 날개
F3NBO00020	왼쪽 날개
F3NBO00021	뇌
F3NBO00022	오른쪽 날개
F3NBO00023	왼쪽 날개
F3NBO00024	외피
F3NBO00025	조준 칩
F3NBO00026	휠
F3NBO00027	꼬리
F3NBO00028	오른쪽 뒷다리
F3NBO00029	오른쪽 앞다리
F3NBO00030	왼쪽 뒷다리
F3NBO00031	왼쪽 앞다리
F3NBO00032	전투 억제기
F3NBO00033	재퍼
F3NBO00034	장갑
F3NBO00035	추적 센서
F3NBO00036	몸통 장갑
F3NBO00037	팔
F3NBO00038	추진 엔진
F3NBO00039	다리
F3NBO00040	얼굴
F3NBO00041	머리
F3NBO00042	새시
F3NBO00043	렌즈
F3NBO00044	혀
F3NBO00045	입 모니터
F3NBO00046	눈 모니터
F3NBO00047	무기
F3NBO00048	박격포
F3NBO00049	기관포
F3NBO00050	발전기
F3NBO00051	레이더
F3NBO00052	지뢰
F3NBO00053	호버 모듈
F3NBO00054	팔
F3NBO00056	[%]: 왼발
F3NBO00057	[%]: 오른발
F3NBO00058	[%]: 몸통
F3NBO00059	[%]: 오른팔
F3NBO00060	[%]: 왼팔
F3NBO00061	[%]: 머리
F3NBO00062	[%]: 오른쪽 트랙
F3NBO00063	[%]: 왼쪽 트랙
F3NBO00064	[%]: 오른발
F3NBO00065	[%]: 왼발
F3NBO00066	[%]: 오른쪽 집게발
F3NBO00067	[%]: 왼쪽 집게발
F3NBO00068	[%]: 침
F3NBO00069	[%]: 몸통
F3NBO00070	[%]: 브랜치
F3NBO00071	[%]: 더듬이
F3NBO00072	[%]: 엔클레이브 마인드 콘트롤
F3NBO00073	[%]: 오른쪽 날개
F3NBO00074	[%]: 왼쪽 날개
F3NBO00075	[%]: 뇌
F3NBO00076	[%]: 오른쪽 날개
F3NBO00077	[%]: 왼쪽 날개
F3NBO00078	[%]: 외피
F3NBO00079	[%]: 조준 칩
F3NBO00080	[%]: 휠
F3NBO00081	[%]: 꼬리
F3NBO00082	[%]: 오른쪽 뒷다리
F3NBO00083	[%]: 오른쪽 앞다리
F3NBO00084	[%]: 왼쪽 뒷다리
F3NBO00085	[%]: 왼쪽 앞다리
F3NBO00086	[%]: 전투 억제기
F3NBO00087	[%]: 재퍼
F3NBO00088	[%]: 장갑
F3NBO00089	[%]: 추적 센서
F3NBO00090	[%]: 몸통 장갑
F3NBO00091	[%]: 팔
F3NBO00092	[%]: 추진 엔진
F3NBO00093	[%]: 다리
F3NBO00094	[%]: 얼굴
F3NBO00095	[%]: 머리
F3NBO00096	[%]: 새시
F3NBO00097	[%]: 렌즈
F3NBO00098	[%]: 혀
F3NBO00099	[%]: 입 모니터
F3NBO00100	[%]: 눈 모니터
F3NBO00101	[%]: 무기
F3NBO00102	[%]: 박격포
F3NBO00103	[%]: 기관포
F3NBO00104	[%]: 발전기
F3NBO00105	[%]: 레이더
F3NBO00106	[%]: 지뢰
F3NBO00107	[%]: 호버 모듈
F3NBO00108	[%]: 팔
F3NBO00130	[%] 왼발 손상
F3NBO00131	[%] 오른발 손상
F3NBO00132	[%] 몸통 손상
F3NBO00133	[%] 오른팔 손상
F3NBO00134	[%] 왼팔 손상
F3NBO00135	[%] 머리 손상
F3NBO00136	[%] 오른쪽 트랙 손상
F3NBO00137	[%] 왼쪽 트랙 손상
F3NBO00138	[%] 오른발 손상
F3NBO00139	[%] 왼발 손상
F3NBO00140	[%] 오른쪽 집게발 손상
F3NBO00141	[%] 왼쪽 집게발 손상
F3NBO00142	[%] 침 손상
F3NBO00143	[%] 몸통 손상
F3NBO00144	[%] 브랜치 손상
F3NBO00145	[%] 더듬이 손상
F3NBO00146	[%] 엔클레이브 마인드 콘트롤 손상
F3NBO00147	[%] 오른쪽 날개 손상
F3NBO00148	[%] 왼쪽 날개 손상
F3NBO00149	[%] 뇌 손상
F3NBO00150	[%] 오른쪽 날개 손상
F3NBO00151	[%] 왼쪽 날개 손상
F3NBO00152	[%] 외피 손상
F3NBO00153	[%] 조준 칩 손상
F3NBO00154	[%] 휠 손상
F3NBO00155	[%] 꼬리 손상
F3NBO00156	[%] 오른쪽 뒷다리 손상
F3NBO00157	[%] 오른쪽 앞다리 손상
F3NBO00158	[%] 왼쪽 뒷다리 손상
F3NBO00159	[%] 왼쪽 앞다리 손상
F3NBO00160	[%] 전투 억제기 손상
F3NBO00161	[%] 재퍼 손상
F3NBO00162	[%] 장갑 손상
F3NBO00163	[%] 추적 센서 손상
F3NBO00164	[%] 몸통 장갑 손상
F3NBO00165	[%] 팔 손상
F3NBO00166	[%] 추진 엔진 손상
F3NBO00167	[%] 다리 손상
F3NBO00168	[%] 얼굴 손상
F3NBO00169	[%] 머리 손상
F3NBO00170	[%] 새시 손상
F3NBO00171	[%] 렌즈 손상
F3NBO00172	[%] 혀 손상
F3NBO00173	[%] 입 모니터 손상
F3NBO00174	[%] 눈 모니터 손상
F3NBO00175	[%] 무기 손상
F3NBO00176	[%] 박격포 손상
F3NBO00177	[%] 기관포 손상
F3NBO00178	[%] 발전기 손상
F3NBO00179	[%] 레이더 손상
F3NBO00180	[%] 지뢰 손상
F3NBO00181	[%] 호버 모듈 손상
F3NBO00182	[%] 팔 손상
F3NBO00183	[%] 광분함
F3NIT00009	허기 [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00010	허기 [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00011	허기 [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00012	허기 [%], [%] [%], [%] [%], [%] [%]
F3NIT00013	허기 [%], [%] [%], [%] [%]
F3NIT00014	허기 [%], [%] [%]
F3NIT00015	허기 [%]
F3NIT00016	갈증 [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00017	갈증 [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00018	갈증 [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00019	갈증 [%], [%] [%], [%] [%], [%] [%]
F3NIT00020	갈증 [%], [%] [%], [%] [%]
F3NIT00021	갈증 [%], [%] [%]
F3NIT00022	갈증 [%]
F3NIT00023	피로 [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00024	피로 [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00025	피로 [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00026	피로 [%], [%] [%], [%] [%], [%] [%]
F3NIT00027	피로 [%], [%] [%], [%] [%]
F3NIT00028	피로 [%], [%] [%]
F3NIT00029	피로 [%]
F3NIT00030	방사능 [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00031	방사능 [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00032	방사능 [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00033	방사능 [%], [%] [%], [%] [%], [%] [%]
F3NIT00034	방사능 [%], [%] [%], [%] [%]
F3NIT00035	방사능 [%], [%] [%]
F3NIT00036	방사능 [%]
F3NIT00037	HP [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00038	HP [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00039	HP [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00040	HP [%], [%] [%], [%] [%], [%] [%]
F3NIT00041	HP [%], [%] [%], [%] [%]
F3NIT00042	HP [%], [%] [%]
F3NIT00043	HP [%]
F3NIT00044	인지 [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00045	인지 [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00046	인지 [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00047	인지 [%], [%] [%], [%] [%], [%] [%]
F3NIT00048	인지 [%], [%] [%], [%] [%]
F3NIT00049	인지 [%], [%] [%]
F3NIT00050	인지 [%]
F3NIT00051	매력 [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00052	매력 [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00053	매력 [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00054	매력 [%], [%] [%], [%] [%], [%] [%]
F3NIT00055	매력 [%], [%] [%], [%] [%]
F3NIT00056	매력 [%], [%] [%]
F3NIT00057	매력 [%]
F3NIT00058	힘 [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00059	힘 [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00060	힘 [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00061	힘 [%], [%] [%], [%] [%], [%] [%]
F3NIT00062	힘 [%], [%] [%], [%] [%]
F3NIT00063	힘 [%], [%] [%]
F3NIT00064	힘 [%]
F3NIT00065	AP [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00066	AP [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00067	AP [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00068	AP [%], [%] [%], [%] [%], [%] [%]
F3NIT00069	AP [%], [%] [%], [%] [%]
F3NIT00070	AP [%], [%] [%]
F3NIT00071	AP [%]
F3NIT00072	민첩 [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00073	민첩 [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00074	민첩 [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00075	민첩 [%], [%] [%], [%] [%], [%] [%]
F3NIT00076	민첩 [%], [%] [%], [%] [%]
F3NIT00077	민첩 [%], [%] [%]
F3NIT00078	민첩 [%]
F3NIT00079	지구 [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00080	지구 [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00081	지구 [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00082	지구 [%], [%] [%], [%] [%], [%] [%]
F3NIT00083	지구 [%], [%] [%], [%] [%]
F3NIT00084	지구 [%], [%] [%]
F3NIT00085	지구 [%]
F3NIT00086	지능 [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00087	지능 [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00088	지능 [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00089	지능 [%], [%] [%], [%] [%], [%] [%]
F3NIT00090	지능 [%], [%] [%], [%] [%]
F3NIT00091	지능 [%], [%] [%]
F3NIT00092	지능 [%]
F3NIT00093	독 저항 [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00094	독 저항 [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00095	독 저항 [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00096	독 저항 [%], [%] [%], [%] [%], [%] [%]
F3NIT00097	독 저항 [%], [%] [%], [%] [%]
F3NIT00098	독 저항 [%], [%] [%]
F3NIT00099	독 저항 [%]
F3NIT00100	밀봉됨, [%] [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00101	밀봉됨, [%] [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00102	밀봉됨, [%] [%], [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00103	밀봉됨, [%] [%], [%] [%], [%] [%], [%] [%]
F3NIT00104	밀봉됨, [%] [%], [%] [%], [%] [%]
F3NIT00105	밀봉됨, [%] [%], [%] [%]
F3NIT00106	밀봉됨, [%] [%]
F3NIT00107	신선함, [%] [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%], [%] [%]
